"","total","area_x","percentpublic","taxa","nsumemploy","total_x_x"
"1",2,36346284986,0.358767362865535,1,119534.765799159,4
"2",2,1.33546e+11,0.529177054,1,13273.9498385,1
"3",1,2503649630,0.580853124,1,1462.9677372,1
"4",2,60545327618,0.594495773,1,6132.3428958,1
"5",2,7208499985,0.720360231,1,13924,0
"6",7,793480924,0.012570145,0,1533,2
"7",1,54914785414,0.852512706,1,50093.3130541,0
"8",20,21409375981,0.393168914,1,191018.304107,3
"9",4,1676259638,0.422765379,0,737,1
"10",2,6644895767,0.59440453,1,1928,2
"11",11,67530220378,0.919304277,1,37861.0219485,2
"12",10,13992159747,0.016980333,0,3131.3752968,5
"13",4,10333912540,0.936868296,0,497,2
"14",6,26464059457,0.781364857,0,16580.8031432,2
"15",1,10898787530,0.478012377,1,127435,3
"16",17,62472327673,0.491426979,0,4842.8937645,3
"17",3,11761615611,0.716067005,0,946,3
"18",7,24969533279,0.944649643,0,2228,2
"19",11,14281265651,0.513133804,0,16443,2
"20",9,91040688014,0.099577544,1,7067.2959413,3
"21",2,65993948162,0.808947585,1,4072.8765371,1
"22",7,32162164985,0.73164943,1,4203.16980054,4
"23",1,1132603918,0.008346062,0,3629,1
"24",2,23470433277,0.666944565,1,7722.823343,0
"25",3,48222181220,NA,1,6930,3
"26",7,71146688929,0.688740588,0,5854.0588331,4
"27",1,1132603918,0.008346062,0,3629,1
"28",8,26040163386,0.643372524,0,5820.2972427,1
"29",5,3752472156,0.541734336,1,896,2
"30",3,26368508430,0.959190351,0,785,1
"31",52,15525687567,0.127753622,0,10105.2358048,3
"32",6,10898787530,0.478012377,1,127435,3
"33",2,21039796372,NA,0,13230,3
"34",2,54914785414,0.852512706,0,50093.3130541,4
"35",12,1.31757e+11,0.536300328,0,2095.2158201,4
"36",4,17126453574,0.666593533,0,2541,5
"37",3,10898787530,0.478012377,1,127435,1
"38",6,4312882784,0.515980772,0,1947.44698082,3
"39",8,44470786293,0.803458444,1,3771.9818804,4
"40",3,36731148890,0.869608708,1,2291.0810183,2
"41",4,9796168928,0.688616153,0,1054.4596823,2
"42",2,784468319,0.248985859,0,870,1
"43",13,26603473882,0.762086687,1,21798.9160146,1
"44",3,24494886848,0.629248511,1,8884.9639146,2
"45",3,6746899240,0.5626309,0,11010,2
"46",10,1.13048e+11,0.318916664,0,5992.21373462,1
"47",1,10433637860,NA,0,3847,1
"48",3,11972778533,0.560559795,0,1022,1
"49",7,19951594558,0.803411554,1,4739.2798075,4
"50",5,6374158879,0.975858178,1,371,2
"51",2,2296416963,0.087652908,1,2233.7536804,2
