"","BLM","FO","USFS","USFWS","P","SL","SG","R","M","C","SW","N","group"
"1",0,Zaitzevia thermae,0,c("Zaitzevia thermae", "Zaitzevia thermae"),Zaitzevia thermae,Zaitzevia thermae,0,Zaitzevia thermae,Zaitzevia thermae,0,Zaitzevia thermae,0,c("Zaitzevia thermae", "Zaitzevia thermae", "Zaitzevia thermae")
"2",0,0,0,0,0,0,0,0,0,0,0,Nerodia erythrogaster neglecta,c("Nerodia erythrogaster neglecta", "Nerodia erythrogaster neglecta")
"3",0,0,Cimicifuga arizonica,Cimicifuga arizonica,0,0,0,0,0,0,0,0,Cimicifuga arizonica
"4",0,0,0,0,0,0,0,Fallicambarus gordoni,Fallicambarus gordoni,0,Fallicambarus gordoni,0,c("Fallicambarus gordoni", "Fallicambarus gordoni", "Fallicambarus gordoni")
"5",Cicindela albissima,0,0,Cicindela albissima,Cicindela albissima,c("Cicindela albissima", "Cicindela albissima"),Cicindela albissima,0,0,0,0,0,c("Cicindela albissima", "Cicindela albissima", "Cicindela albissima")
"6",Sceloporus arenicolus,Sceloporus arenicolus,0,c("Sceloporus arenicolus", "Sceloporus arenicolus", "Sceloporus arenicolus"),c("Sceloporus arenicolus", "Sceloporus arenicolus"),0,0,0,0,0,0,c("Sceloporus arenicolus", "Sceloporus arenicolus"),c("Sceloporus arenicolus", "Sceloporus arenicolus", "Sceloporus arenicolus")
"7",0,0,Oncorhynchus mykiss aquilarum,Oncorhynchus mykiss aquilarum,0,0,0,0,0,0,Oncorhynchus mykiss aquilarum,0,c("Oncorhynchus mykiss aquilarum", "Oncorhynchus mykiss aquilarum")
"8",c("Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii"),c("Phrynosoma mcallii", "Phrynosoma mcallii"),0,c("Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii"),0,c("Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii"),0,0,c("Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii"),0,c("Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii"),0,c("Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii", "Phrynosoma mcallii")
"9",0,0,Allium gooddingii,Allium gooddingii,0,0,0,0,0,0,0,0,Allium gooddingii
"10",0,0,0,Oncorhynchus mykiss ssp.,Oncorhynchus mykiss ssp.,0,Oncorhynchus mykiss ssp.,0,0,c("Oncorhynchus mykiss ssp.", "Oncorhynchus mykiss ssp.", "Oncorhynchus mykiss ssp."),c("Oncorhynchus mykiss ssp.", "Oncorhynchus mykiss ssp."),0,c("Oncorhynchus mykiss ssp.", "Oncorhynchus mykiss ssp.", "Oncorhynchus mykiss ssp.")
"11",0,0,0,0,Pyrgulopsis morrisoni,0,0,0,0,0,Pyrgulopsis morrisoni,0,Pyrgulopsis morrisoni
"12",0,0,0,Lithobates onca,Lithobates onca,0,0,0,0,0,Lithobates onca,0,Lithobates onca
"13",Lepidium papilliferum,0,0,0,0,0,0,0,c("Lepidium papilliferum", "Lepidium papilliferum"),0,0,0,Lepidium papilliferum
"14",Potentilla basaltica,0,0,Potentilla basaltica,0,0,0,0,0,0,0,0,c("Potentilla basaltica", "Potentilla basaltica")
"15",0,Pseudanophthalmus inexpectatus,0,Pseudanophthalmus inexpectatus,0,0,0,0,0,0,0,0,Pseudanophthalmus inexpectatus
"16",0,0,Sonorella macrophallus,Sonorella macrophallus,0,0,0,0,0,0,0,0,c("Sonorella macrophallus", "Sonorella macrophallus")
"17",0,0,0,0,0,0,0,0,0,0,0,0,Penstemon scariosus albifluvis
"18",Aliciella caespitosa,Aliciella caespitosa,Aliciella caespitosa,Aliciella caespitosa,0,0,0,0,0,0,0,0,c("Aliciella caespitosa", "Aliciella caespitosa")
"19",Astragalus anserinus,0,0,Astragalus anserinus,0,0,0,0,0,0,0,0,0
"20",0,0,Castilleja christii,Castilleja christii,0,0,0,0,0,0,0,0,0
"21",0,Erigeron basalticus,0,0,0,0,0,Erigeron basalticus,0,0,0,0,0
"22",0,0,Euphydryas anicia cloudcrofti,Euphydryas anicia cloudcrofti,0,0,c("Euphydryas anicia cloudcrofti", "Euphydryas anicia cloudcrofti"),0,0,0,0,0,0
"23",0,0,Horkelia hendersonii,Horkelia hendersonii,0,0,Horkelia hendersonii,c("Horkelia hendersonii", "Horkelia hendersonii"),0,0,0,0,0
"24",Iotichthys phlegethontis,c("Iotichthys phlegethontis", "Iotichthys phlegethontis"),0,Iotichthys phlegethontis,Iotichthys phlegethontis,0,0,0,0,c("Iotichthys phlegethontis", "Iotichthys phlegethontis"),Iotichthys phlegethontis,0,0
"25",0,0,Lupinus aridus ssp. ashlandensis,Lupinus aridus ssp. ashlandensis,0,0,0,0,0,0,0,0,0
"26",0,0,0,Moxostoma,Moxostoma,0,0,Moxostoma,0,c("Moxostoma", "Moxostoma"),Moxostoma,0,0
"27",0,0,0,Oncorhynchus clarkii virginalis,Oncorhynchus clarkii virginalis,Oncorhynchus clarkii virginalis,0,0,0,0,c("Oncorhynchus clarkii virginalis", "Oncorhynchus clarkii virginalis"),0,0
"28",Opuntia X multigeniculata,0,0,0,0,0,0,0,0,0,0,0,0
"29",Pediocactus paradinei,0,Pediocactus paradinei,Pediocactus paradinei,0,0,0,0,0,0,0,0,0
"30",0,Phacelia stellaris,0,Phacelia stellaris,0,Phacelia stellaris,0,0,c("Phacelia stellaris", "Phacelia stellaris"),0,0,0,0
"31",0,0,0,Pseudanophthalmus catorycetes,0,0,0,0,0,0,0,Pseudanophthalmus catorycetes,0
"32",0,0,0,Pseudanophthalmus pholeter,0,0,0,0,0,0,0,Pseudanophthalmus pholeter,0
"33",0,0,0,Solidago plumosa,0,Solidago plumosa,0,0,0,Solidago plumosa,0,0,0
"34",0,0,0,c("Sylvilagus transitionalis", "Sylvilagus transitionalis"),0,0,0,0,0,0,c("Sylvilagus transitionalis", "Sylvilagus transitionalis"),c("Sylvilagus transitionalis", "Sylvilagus transitionalis"),0
"35",Thymallus arcticus,Thymallus arcticus,0,Thymallus arcticus,Thymallus arcticus,c("Thymallus arcticus", "Thymallus arcticus"),0,0,0,0,Thymallus arcticus,0,0
"36",0,0,0,Urocitellus endemicus,Urocitellus endemicus,0,Urocitellus endemicus,0,0,0,Urocitellus endemicus,0,0
"37",Urocitellus washingtoni,c("Urocitellus washingtoni", "Urocitellus washingtoni"),0,c("Urocitellus washingtoni", "Urocitellus washingtoni"),0,Urocitellus washingtoni,0,0,0,c("Urocitellus washingtoni", "Urocitellus washingtoni", "Urocitellus washingtoni"),c("Urocitellus washingtoni", "Urocitellus washingtoni"),c("Urocitellus washingtoni", "Urocitellus washingtoni"),0
